providlyear;ns;ew;objekt;typmetod;Ag (ppb);Al (ppm);As (ppm);Au (ppb);Ba (ppm);Be (ppm);Bi (ppm);Ca (ppm);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Dy (ppm);Er (ppm);Eu (ppm);Fe (ppm);Ga (ppm);Gd (ppm);Hf (ppm);Ho (ppm);K (ppm);La (ppm);Li (ppm);Lu (ppm);Mg (ppm);Mn (ppm);Mo (ppm);Na (ppm);Nb (ppm);Nd (ppm);Ni (ppm);P (ppm);Pb (ppm);Pd (ppb);Pr (ppm);Rb (ppm);Rh (ppb);S (ppm);Sb (ppm);Sc (ppm);Sm (ppm);Sn (ppm);Sr (ppm);Tb (ppm);Te (ppb);Th (ppm);Ti (ppm);Tl (ppm);Tm (ppm);U (ppm);V (ppm);W (ppm);Y (ppm);Yb (ppm);Zn (ppm);Zr (ppm)
198381031;6849667;542523;KJPA;ICPALSX;;20475.0996;2.9830;;77.7550;0.7500;0.3120;5402.7700;0.0930;83.8320;13.7040;15.3200;1.7830;76.7670;4.1710;2.1930;0.6340;34692.8984;7.6030;5.2360;0.7120;0.8040;2519.5601;30.6580;17.9160;0.3130;7711.1899;508.5500;0.7180;287.3330;4.8660;30.5450;8.8790;916.2130;8.5030;152.0000;7.8870;20.5290;;49.3410;0.0805;8.8730;6.2800;2.3860;33.1360;0.7790;;13.7940;2500.9099;0.1460;0.3050;4.3860;53.4920;0.7570;24.2760;2.1080;54.6940;31.3900
198381031;6849667;542523;KJPA;ICPSGUX;84.7890;;;2.5470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.1480;;;;;;;;116.8620;;;;;;;;;;;
198381038;6862522;551731;KJPA;ICPALSX;;20113.0000;3.1000;;102.6640;1.0230;0.2390;4294.3799;0.0764;202.4760;8.0360;29.9480;2.5510;21.3010;9.0750;5.2500;1.1650;28009.8008;7.3780;10.4720;0.6550;1.8560;2660.9700;71.5720;19.2360;0.6510;4600.4199;341.1390;0.8670;359.5670;2.9710;62.1170;16.2630;687.6190;12.8410;118.0000;16.6450;35.1230;;38.3230;0.1480;8.0660;11.9390;2.6400;26.8350;1.5760;;21.2880;2207.3101;0.2860;0.7140;4.8140;43.5150;0.6000;48.8880;4.7110;55.4330;23.4330
198381038;6862522;551731;KJPA;ICPSGUX;48.9680;;;1.1300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.1250;;;;;;;;17.6770;;;;;;;;;;;
198381055;6849834;560411;KJPA;ICPALSX;;9104.0498;3.2460;;37.0740;0.4160;0.1440;5808.7798;0.0702;77.1450;4.1680;13.8420;0.8120;12.7030;5.1970;3.0990;0.8040;20101.6992;4.0390;6.0400;0.6870;1.0780;1523.7800;38.9460;7.1140;0.4130;2455.3401;245.7200;0.3240;529.2930;3.8070;36.7450;5.6660;875.2160;7.2690;105.0000;9.9190;14.9900;;14.5540;0.1210;5.3810;7.2710;1.7230;34.0060;0.9050;;10.5060;2141.4399;0.1410;0.4230;2.6900;38.9490;0.7170;27.0310;2.8680;35.8330;20.1110
198381055;6849834;560411;KJPA;ICPSGUX;60.5150;;;2.9360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.8660;;;;;;;;12.1280;;;;;;;;;;;
198381090;6863219;565988;KJPA;ICPALSX;;16177.2998;1.8280;;55.0370;0.5860;0.1880;5106.0898;0.0870;73.6910;6.3100;24.0190;1.1800;12.2230;4.3160;2.2280;0.7300;19694.1992;5.0360;5.5520;0.4210;0.8340;1657.3101;33.9330;11.2030;0.2670;3442.2800;272.8960;0.4330;291.1800;4.4230;30.5540;12.4360;654.4870;8.9950;79.7000;8.0400;19.7090;;76.6100;0.1190;5.0200;6.2260;1.5670;30.5950;0.7910;;13.0690;1919.8400;0.1920;0.2950;2.9550;36.8820;0.4410;22.8580;1.9540;32.2600;17.4850
198381090;6863219;565988;KJPA;ICPSGUX;51.3180;;;1.1030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.8770;;;;;;;;14.3560;;;;;;;;;;;
198381118;6886646;551006;KJPA;ICPALSX;;16784.5000;1.8080;;77.6060;0.7340;0.2240;4731.4600;0.0621;75.6520;6.6380;26.5800;2.0480;17.1630;5.0210;2.8360;0.5980;20808.9004;6.8850;5.5870;0.4990;1.0030;2366.8701;34.3560;15.9580;0.3340;4361.3901;281.5860;0.3870;209.0670;3.9320;32.0350;13.5980;335.3610;9.2970;100.0000;8.5220;31.1670;;24.5730;0.0910;5.6760;6.5350;1.9900;21.4220;0.8620;;16.3710;2018.2800;0.2520;0.3730;3.2650;35.0940;0.6380;26.7080;2.4080;39.8110;18.4660
198381118;6886646;551006;KJPA;ICPSGUX;63.4420;;;1.5210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.3280;;;;;;;;17.2640;;;;;;;;;;;
198381146;6886372;563901;KJPA;ICPALSX;;15796.5996;10.9890;;66.7530;0.5770;0.2660;5478.4199;0.0847;99.9350;7.6830;29.0510;3.0170;19.7550;5.5600;2.8770;0.8200;21597.9004;5.7110;6.9090;0.5180;1.0750;2824.3301;49.9010;18.4150;0.3390;5992.0098;311.1730;0.1640;283.5960;2.0800;41.8130;18.0800;995.6240;7.9560;82.7000;11.5240;29.9690;;18.3280;0.1020;5.9010;8.2830;1.7580;28.5130;1.0490;;14.7570;2002.2000;0.2930;0.3790;3.0060;40.2300;1.0050;26.7450;2.3860;44.7500;15.4000
198381146;6886372;563901;KJPA;ICPSGUX;55.6890;;;1.1280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0100;;;;;;;;8.8150;;;;;;;;;;;
198381180;6873730;553032;KJPA;ICPALSX;;12590.4004;1.8590;;47.4320;0.5130;0.1690;4101.9702;0.0956;82.6910;6.0840;24.5450;1.3200;11.2430;4.2480;2.2650;0.7900;18446.3008;4.4140;5.2510;0.3710;0.8250;1291.0501;34.6920;11.8500;0.2870;3745.7900;251.4720;0.3200;201.8490;2.0190;31.4230;13.7220;560.1140;8.8710;54.9000;8.5360;17.6390;;17.1140;0.1540;4.6390;6.1470;1.5540;27.8100;0.7680;;12.8240;1615.2700;0.2290;0.3010;2.4170;35.2810;0.5310;18.9510;1.9410;33.9580;12.5540
